year,country_produced_plastic,country
1990,34870.137,Albania
1991,36207.9,Albania
1992,38543.28,Albania
1993,40185.207,Albania
1994,44148.297,Albania
1995,45885.266,Albania
1996,49247.254,Albania
1997,52948.848,Albania
1998,55410.41,Albania
1999,59638.2,Albania
2000,62823.0,Albania
2001,64406.67,Albania
2002,68587.484,Albania
2003,71498.45,Albania
2004,76112.03,Albania
2005,78334.92,Albania
2006,83349.04,Albania
2007,88087.72,Albania
2008,84005.17,Albania
2009,86222.69,Albania
2010,93662.13,Albania
2011,97525.336,Albania
2012,101292.19,Albania
2013,105704.67,Albania
2014,107663.125,Albania
2015,110809.28,Albania
2016,112747.32,Albania
2017,116026.35,Albania
2018,119789.164,Albania
2019,123425.8,Albania
1990,902288.3,Algeria
1991,936903.8,Algeria
1992,997333.44,Algeria
1993,1039819.44,Algeria
1994,1142367.0,Algeria
1995,1187312.2,Algeria
1996,1274306.0,Algeria
1997,1370087.2,Algeria
1998,1433781.9,Algeria
1999,1543178.8,Algeria
2000,1625587.6,Algeria
2001,1666566.2,Algeria
2002,1774747.5,Algeria
2003,1850070.8,Algeria
2004,1969450.1,Algeria
2005,2026969.0,Algeria
2006,2156712.8,Algeria
2007,2279329.2,Algeria
2008,2173690.5,Algeria
2009,2231070.5,Algeria
2010,2423571.0,Algeria
2011,2523534.0,Algeria
2012,2621003.8,Algeria
2013,2735179.8,Algeria
2014,2785856.2,Algeria
2015,2867265.0,Algeria
2016,2917413.2,Algeria
2017,3002260.2,Algeria
2018,3099625.5,Algeria
2019,3193726.0,Algeria
1990,251360.7,Angola
1991,261003.94,Angola
1992,277838.5,Angola
1993,289674.3,Angola
1994,318242.12,Angola
1995,330763.06,Angola
1996,354997.88,Angola
1997,381680.75,Angola
1998,399424.88,Angola
1999,429900.8,Angola
2000,452858.4,Angola
2001,464274.28,Angola
2002,494411.56,Angola
2003,515395.22,Angola
2004,548652.06,Angola
2005,564675.75,Angola
2006,600819.94,Angola
2007,634978.6,Angola
2008,605549.7,Angola
2009,621534.6,Angola
2010,675161.7,Angola
2011,703009.5,Angola
2012,730162.75,Angola
2013,761970.1,Angola
2014,776087.56,Angola
2015,798766.56,Angola
2016,812736.94,Angola
2017,836373.75,Angola
2018,863497.9,Angola
2019,889712.5,Angola
1990,10838.812,Antigua and Barbuda
1991,11254.634,Antigua and Barbuda
1992,11980.549,Antigua and Barbuda
1993,12490.915,Antigua and Barbuda
1994,13722.776,Antigua and Barbuda
1995,14262.685,Antigua and Barbuda
1996,15307.704,Antigua and Barbuda
1997,16458.285,Antigua and Barbuda
1998,17223.422,Antigua and Barbuda
1999,18537.56,Antigua and Barbuda
2000,19527.504,Antigua and Barbuda
2001,20019.762,Antigua and Barbuda
2002,21319.299,Antigua and Barbuda
2003,22224.125,Antigua and Barbuda
2004,23658.18,Antigua and Barbuda
2005,24349.129,Antigua and Barbuda
2006,25907.688,Antigua and Barbuda
2007,27380.629,Antigua and Barbuda
2008,26111.635,Antigua and Barbuda
2009,26800.914,Antigua and Barbuda
2010,29113.344,Antigua and Barbuda
2011,30314.158,Antigua and Barbuda
2012,31485.021,Antigua and Barbuda
2013,32856.57,Antigua and Barbuda
2014,33465.324,Antigua and Barbuda
2015,34443.254,Antigua and Barbuda
2016,35045.664,Antigua and Barbuda
2017,36064.9,Antigua and Barbuda
2018,37234.504,Antigua and Barbuda
2019,38364.89,Antigua and Barbuda
1990,1308770.8,Argentina
1991,1358980.6,Argentina
1992,1446633.9,Argentina
1993,1508259.9,Argentina
1994,1657005.4,Argentina
1995,1722198.5,Argentina
1996,1848383.0,Argentina
1997,1987314.0,Argentina
1998,2079703.1,Argentina
1999,2238383.5,Argentina
2000,2357917.8,Argentina
2001,2417357.2,Argentina
2002,2574274.2,Argentina
2003,2683531.0,Argentina
2004,2856691.0,Argentina
2005,2940122.0,Argentina
2006,3128315.8,Argentina
2007,3306171.2,Argentina
2008,3152942.0,Argentina
2009,3236171.5,Argentina
2010,3515394.0,Argentina
2011,3660390.5,Argentina
2012,3801770.5,Argentina
2013,3967383.2,Argentina
2014,4040889.2,Argentina
2015,4158973.0,Argentina
2016,4231713.0,Argentina
2017,4354784.0,Argentina
2018,4496012.0,Argentina
2019,4632505.0,Argentina
1990,4445.0347,Aruba
1991,4615.5645,Aruba
1992,4913.2646,Aruba
1993,5122.568,Aruba
1994,5627.7583,Aruba
1995,5849.177,Aruba
1996,6277.7427,Aruba
1997,6749.5996,Aruba
1998,7063.385,Aruba
1999,7602.318,Aruba
2000,8008.297,Aruba
2001,8210.174,Aruba
2002,8743.118,Aruba
2003,9114.191,Aruba
2004,9702.302,Aruba
2005,9985.663,Aruba
2006,10624.833,Aruba
2007,11228.891,Aruba
2008,10708.472,Aruba
2009,10991.148,Aruba
2010,11939.483,Aruba
2011,12431.941,Aruba
2012,12912.116,Aruba
2013,13474.594,Aruba
2014,13724.245,Aruba
2015,14125.298,Aruba
2016,14372.349,Aruba
2017,14790.34,Aruba
2018,15269.999,Aruba
2019,15733.575,Aruba
1990,428085.53,Australia
1991,444508.66,Australia
1992,473179.12,Australia
1993,493336.38,Australia
1994,541989.5,Australia
1995,563313.5,Australia
1996,604587.2,Australia
1997,650030.06,Australia
1998,680249.56,Australia
1999,732152.3,Australia
2000,771250.75,Australia
2001,790692.8,Australia
2002,842018.75,Australia
2003,877755.5,Australia
2004,934394.4,Australia
2005,961683.8,Australia
2006,1023240.0,Australia
2007,1081414.8,Australia
2008,1031295.06,Australia
2009,1058518.6,Australia
2010,1149849.4,Australia
2011,1197276.2,Australia
2012,1243520.2,Australia
2013,1297690.4,Australia
2014,1321733.5,Australia
2015,1360357.5,Australia
2016,1384150.0,Australia
2017,1424405.2,Australia
2018,1470599.5,Australia
2019,1515245.0,Australia
1990,24413.469,Bahamas
1991,25350.07,Bahamas
1992,26985.13,Bahamas
1993,28134.686,Bahamas
1994,30909.346,Bahamas
1995,32125.441,Bahamas
1996,34479.254,Bahamas
1997,37070.836,Bahamas
1998,38794.24,Bahamas
1999,41754.223,Bahamas
2000,43983.98,Bahamas
2001,45092.75,Bahamas
2002,48019.844,Bahamas
2003,50057.887,Bahamas
2004,53287.97,Bahamas
2005,54844.27,Bahamas
2006,58354.785,Bahamas
2007,61672.453,Bahamas
2008,58814.156,Bahamas
2009,60366.7,Bahamas
2010,65575.24,Bahamas
2011,68279.97,Bahamas
2012,70917.234,Bahamas
2013,74006.53,Bahamas
2014,75377.695,Bahamas
2015,77580.4,Bahamas
2016,78937.27,Bahamas
2017,81233.0,Bahamas
2018,83867.44,Bahamas
2019,86413.54,Bahamas
1990,28415.994,Bahrain
1991,29506.148,Bahrain
1992,31409.273,Bahrain
1993,32747.295,Bahrain
1994,35976.85,Bahrain
1995,37392.324,Bahrain
1996,40132.04,Bahrain
1997,43148.504,Bahrain
1998,45154.453,Bahrain
1999,48599.72,Bahrain
2000,51195.04,Bahrain
2001,52485.59,Bahrain
2002,55892.57,Bahrain
2003,58264.746,Bahrain
2004,62024.39,Bahrain
2005,63835.844,Bahrain
2006,67921.9,Bahrain
2007,71783.49,Bahrain
2008,68456.586,Bahrain
2009,70263.664,Bahrain
2010,76326.13,Bahrain
2011,79474.3,Bahrain
2012,82543.93,Bahrain
2013,86139.71,Bahrain
2014,87735.67,Bahrain
2015,90299.5,Bahrain
2016,91878.83,Bahrain
2017,94550.945,Bahrain
2018,97617.29,Bahrain
2019,100580.81,Bahrain
1990,897453.0,Bangladesh
1991,931883.06,Bangladesh
1992,991988.8,Bangladesh
1993,1034247.06,Bangladesh
1994,1136245.1,Bangladesh
1995,1180949.5,Bangladesh
1996,1267477.0,Bangladesh
1997,1362745.1,Bangladesh
1998,1426098.4,Bangladesh
1999,1534909.0,Bangladesh
2000,1616876.2,Bangladesh
2001,1657635.2,Bangladesh
2002,1765236.8,Bangladesh
2003,1840156.4,Bangladesh
2004,1958896.0,Bangladesh
2005,2016106.6,Bangladesh
2006,2145155.0,Bangladesh
2007,2267114.5,Bangladesh
2008,2162042.0,Bangladesh
2009,2219114.2,Bangladesh
2010,2410583.2,Bangladesh
2011,2510010.5,Bangladesh
2012,2606958.0,Bangladesh
2013,2720522.2,Bangladesh
2014,2770927.0,Bangladesh
2015,2851899.5,Bangladesh
2016,2901779.0,Bangladesh
2017,2986171.5,Bangladesh
2018,3083014.8,Bangladesh
2019,3176611.0,Bangladesh
1990,27645.527,Barbados
1991,28706.125,Barbados
1992,30557.648,Barbados
1993,31859.39,Barbados
1994,35001.383,Barbados
1995,36378.477,Barbados
1996,39043.906,Barbados
1997,41978.582,Barbados
1998,43930.145,Barbados
1999,47281.992,Barbados
2000,49806.95,Barbados
2001,51062.504,Barbados
2002,54377.11,Barbados
2003,56684.97,Barbados
2004,60342.67,Barbados
2005,62105.01,Barbados
2006,66080.28,Barbados
2007,69837.17,Barbados
2008,66600.47,Barbados
2009,68358.55,Barbados
2010,74256.64,Barbados
2011,77319.445,Barbados
2012,80305.85,Barbados
2013,83804.13,Barbados
2014,85356.82,Barbados
2015,87851.13,Barbados
2016,89387.65,Barbados
2017,91987.305,Barbados
2018,94970.51,Barbados
2019,97853.69,Barbados
1990,151218.16,Belgium
1991,157019.5,Belgium
1992,167147.14,Belgium
1993,174267.55,Belgium
1994,191453.9,Belgium
1995,198986.47,Belgium
1996,213566.1,Belgium
1997,229618.47,Belgium
1998,240293.3,Belgium
1999,258627.56,Belgium
2000,272438.8,Belgium
2001,279306.56,Belgium
2002,297437.1,Belgium
2003,310060.84,Belgium
2004,330068.12,Belgium
2005,339707.94,Belgium
2006,361452.22,Belgium
2007,382002.0,Belgium
2008,364297.6,Belgium
2009,373914.12,Belgium
2010,406176.06,Belgium
2011,422929.28,Belgium
2012,439264.62,Belgium
2013,458399.84,Belgium
2014,466892.9,Belgium
2015,480536.53,Belgium
2016,488941.06,Belgium
2017,503160.94,Belgium
2018,519478.78,Belgium
2019,535249.44,Belgium
1990,9596.845,Belize
1991,9965.02,Belize
1992,10607.756,Belize
1993,11059.642,Belize
1994,12150.35,Belize
1995,12628.393,Belize
1996,13553.668,Belize
1997,14572.409,Belize
1998,15249.873,Belize
1999,16413.432,Belize
2000,17289.941,Belize
2001,17725.795,Belize
2002,18876.424,Belize
2003,19677.57,Belize
2004,20947.305,Belize
2005,21559.08,Belize
2006,22939.05,Belize
2007,24243.215,Belize
2008,23119.629,Belize
2009,23729.928,Belize
2010,25777.387,Belize
2011,26840.605,Belize
2012,27877.305,Belize
2013,29091.695,Belize
2014,29630.695,Belize
2015,30496.568,Belize
2016,31029.951,Belize
2017,31932.395,Belize
2018,32967.98,Belize
2019,33968.844,Belize
1990,68625.21,Benin
1991,71257.96,Benin
1992,75854.05,Benin
1993,79085.39,Benin
1994,86884.836,Benin
1995,90303.234,Benin
1996,96919.7,Benin
1997,104204.53,Benin
1998,109048.94,Benin
1999,117369.32,Benin
2000,123637.08,Benin
2001,126753.78,Benin
2002,134981.72,Benin
2003,140710.56,Benin
2004,149790.19,Benin
2005,154164.89,Benin
2006,164032.8,Benin
2007,173358.61,Benin
2008,165324.06,Benin
2009,169688.2,Benin
2010,184329.19,Benin
2011,191932.06,Benin
2012,199345.3,Benin
2013,208029.17,Benin
2014,211883.45,Benin
2015,218075.16,Benin
2016,221889.27,Benin
2017,228342.48,Benin
2018,235747.77,Benin
2019,242904.75,Benin
