,country,code,year,total_plastic_prod
0,Myanmar,MMR,1990,70910.1195710474
0,Myanmar,MMR,1991,69389.43524707598
0,Myanmar,MMR,1992,80845.30331294578
0,Myanmar,MMR,1993,106037.64026877623
0,Myanmar,MMR,1994,148587.7694771376
0,Myanmar,MMR,1995,177315.23156144877
0,Myanmar,MMR,1996,205287.19299672238
0,Myanmar,MMR,1997,158310.83055590955
0,Myanmar,MMR,1998,216548.12873072873
0,Myanmar,MMR,1999,284514.07632798946
0,Myanmar,MMR,2000,298535.0051798155
0,Myanmar,MMR,2001,217162.5949924666
0,Myanmar,MMR,2002,227214.54506130613
0,Myanmar,MMR,2003,350901.23689136485
0,Myanmar,MMR,2004,354261.8370277494
0,Myanmar,MMR,2005,401853.3728231233
0,Myanmar,MMR,2006,486186.16272482235
0,Myanmar,MMR,2007,676600.9267663072
0,Myanmar,MMR,2008,1068165.8708791954
0,Myanmar,MMR,2009,1237249.3193527067
0,Myanmar,MMR,2010,1660814.9446757347
0,Myanmar,MMR,2011,2010690.4345044806
0,Myanmar,MMR,2012,2009365.242676129
0,Myanmar,MMR,2013,2020493.1304806296
0,Myanmar,MMR,2014,2196885.3208676027
0,Myanmar,MMR,2015,1998285.2933039437
0,Myanmar,MMR,2016,2122025.426794075
0,Myanmar,MMR,2017,2214373.7531528627
0,Myanmar,MMR,2018,2274967.880112459
0,Myanmar,MMR,2019,2516495.831119278
0,Myanmar,MMR,2020,2648614.857254236
0,Myanmar,MMR,2021,2224171.2162844143
0,Myanmar,MMR,2022,2086982.199846644
0,Myanmar,MMR,2023,2172870.5278109233
0,Togo,TGO,1990,79291.17321057855
0,Togo,TGO,1991,78018.96314735874
0,Togo,TGO,1992,82433.33298480342
0,Togo,TGO,1993,60061.264080901696
0,Togo,TGO,1994,47845.80947258408
0,Togo,TGO,1995,63756.2889307107
0,Togo,TGO,1996,71355.40340889926
0,Togo,TGO,1997,72986.71553483138
0,Togo,TGO,1998,77290.83507759252
0,Togo,TGO,1999,76771.1296774024
0,Togo,TGO,2000,72642.96000248259
0,Togo,TGO,2001,72182.65682815299
0,Togo,TGO,2002,83102.30704679452
0,Togo,TGO,2003,103024.00951579429
0,Togo,TGO,2004,110043.24576043955
0,Togo,TGO,2005,111089.6587525309
0,Togo,TGO,2006,114503.0304378901
0,Togo,TGO,2007,129641.47649528971
0,Togo,TGO,2008,157876.16088336738
0,Togo,TGO,2009,162808.14245815968
0,Togo,TGO,2010,163652.8414958572
0,Togo,TGO,2011,186962.75610140528
0,Togo,TGO,2012,186655.97503311344
0,Togo,TGO,2013,207625.9661948622
0,Togo,TGO,2014,220438.0178132984
0,Togo,TGO,2015,198445.05940263948
0,Togo,TGO,2016,209330.56000326655
0,Togo,TGO,2017,220234.7358703922
0,Togo,TGO,2018,242366.32365141547
0,Togo,TGO,2019,241104.36652355813
0,Togo,TGO,2020,255157.63589203873
0,Togo,TGO,2021,287635.86890362937
0,Togo,TGO,2022,281678.9427787909
0,Togo,TGO,2023,316219.9497917331
0,Fiji,FJI,1990,30553.421052056085
0,Fiji,FJI,1991,31624.392149000396
0,Fiji,FJI,1992,35018.53761641267
0,Fiji,FJI,1993,37388.05816456831
0,Fiji,FJI,1994,41721.48746708024
0,Fiji,FJI,1995,45025.17598210673
0,Fiji,FJI,1996,48644.809772917666
0,Fiji,FJI,1997,47765.57049524453
0,Fiji,FJI,1998,37777.579908192165
0,Fiji,FJI,1999,44251.83265814581
0,Fiji,FJI,2000,38350.54138097513
0,Fiji,FJI,2001,37761.93335437968
0,Fiji,FJI,2002,41893.97132547655
0,Fiji,FJI,2003,52570.67449923183
0,Fiji,FJI,2004,61884.79825919519
0,Fiji,FJI,2005,68107.95634364407
0,Fiji,FJI,2006,70299.49241763378
0,Fiji,FJI,2007,77200.98190162059
0,Fiji,FJI,2008,80511.57000915807
0,Fiji,FJI,2009,65599.29041569505
0,Fiji,FJI,2010,71758.84495173646
0,Fiji,FJI,2011,86366.82612767519
0,Fiji,FJI,2012,90768.47663257578
0,Fiji,FJI,2013,95748.82210326477
0,Fiji,FJI,2014,110994.17957755616
0,Fiji,FJI,2015,107003.66554812917
0,Fiji,FJI,2016,112664.85790176263
0,Fiji,FJI,2017,122337.06028404171
0,Fiji,FJI,2018,127546.296522931
0,Fiji,FJI,2019,124415.16891221897
0,Fiji,FJI,2020,101290.37255564057
0,Fiji,FJI,2021,98378.24769216069
0,Fiji,FJI,2022,113802.1040701965
0,Fiji,FJI,2023,125566.68509347207
0,Eritrea,ERI,1990,
0,Eritrea,ERI,1991,
0,Eritrea,ERI,1992,26184.657559234493
0,Eritrea,ERI,1993,25678.14798975778
0,Eritrea,ERI,1994,29180.5243635303
0,Eritrea,ERI,1995,31723.09538694807
0,Eritrea,ERI,1996,38063.170401404874
0,Eritrea,ERI,1997,37676.47390450781
0,Eritrea,ERI,1998,40916.36960609011
0,Eritrea,ERI,1999,37809.753787803704
0,Eritrea,ERI,2000,38767.583075874
0,Eritrea,ERI,2001,41292.23816127686
0,Eritrea,ERI,2002,40027.189969656705
0,Eritrea,ERI,2003,47761.63066840992
0,Eritrea,ERI,2004,60867.94972686203
0,Eritrea,ERI,2005,60284.58327337472
0,Eritrea,ERI,2006,66471.91213552227
0,Eritrea,ERI,2007,72334.08352475366
0,Eritrea,ERI,2008,75748.57678699843
0,Eritrea,ERI,2009,101900.58456613285
0,Eritrea,ERI,2010,87237.00185286281
0,Eritrea,ERI,2011,113332.99779969903
0,Eritrea,ERI,2012,
0,Eritrea,ERI,2013,
0,Eritrea,ERI,2014,
0,Eritrea,ERI,2015,
0,Eritrea,ERI,2016,
0,Eritrea,ERI,2017,
0,Eritrea,ERI,2018,
0,Eritrea,ERI,2019,
0,Eritrea,ERI,2020,
0,Eritrea,ERI,2021,
0,Eritrea,ERI,2022,
0,Eritrea,ERI,2023,
0,Italy,ITA,1990,1939286.9452413153
0,Italy,ITA,1991,2045997.4013986397
0,Italy,ITA,1992,2167391.758015901
0,Italy,ITA,1993,1748408.132019054
0,Italy,ITA,1994,1804652.6344682479
0,Italy,ITA,1995,1928516.0268475905
0,Italy,ITA,1996,2154692.5334954974
0,Italy,ITA,1997,2038871.2467754113
0,Italy,ITA,1998,2085124.4902541563
0,Italy,ITA,1999,2056219.8411813385
0,Italy,ITA,2000,1882571.0163266703
0,Italy,ITA,2001,1917616.9498032432
0,Italy,ITA,2002,2096151.9005366855
0,Italy,ITA,2003,2590080.0089531387
0,Italy,ITA,2004,2965914.329926817
0,Italy,ITA,2005,3050751.053789994
0,Italy,ITA,2006,3200700.720739803
0,Italy,ITA,2007,3633388.456004297
0,Italy,ITA,2008,3954439.799663794
0,Italy,ITA,2009,3611760.405680967
0,Italy,ITA,2010,3506968.6011914494
0,Italy,ITA,2011,3767835.357293053
0,Italy,ITA,2012,3426288.6231269697
0,Italy,ITA,2013,3516530.453748465
0,Italy,ITA,2014,3549506.108169825
0,Italy,ITA,2015,3015322.7467952673
0,Italy,ITA,2016,3081705.7294436223
0,Italy,ITA,2017,3220803.2443389376
0,Italy,ITA,2018,3434456.0125791086
0,Italy,ITA,2019,3302080.3364108894
0,Italy,ITA,2020,3115181.1794541846
0,Italy,ITA,2021,3537793.5744599095
0,Italy,ITA,2022,3393477.0816235295
0,Italy,ITA,2023,3701929.9513691287
0,Marshall Islands,MHL,1990,2171.1792083184782
0,Marshall Islands,MHL,1991,2282.704048890523
